RANK,SEASON,TEAM,PLAYOFF_TEAM,AVERAGE_AGE,W,L,W/L%,PW,PL,MOV,SOS,SRS,ORTG,DRTG,NRTG,PACE,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,ARENA,TOTAL_ATTENDANCE,ATTENDANCE/G
18.0,2015-2016,Chicago Bulls,0,27.6,42.0,40.0,0.5121951219512195,37,45,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,0.24,0.244,0.526,0.48700000000000004,12.6,24.5,0.18899999999999997,0.485,10.7,74.9,0.182,United Center,894659,21821
19.0,2015-2016,Orlando Magic,0,23.9,35.0,47.0,0.4268292682926829,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96.0,0.23199999999999998,0.255,0.5329999999999999,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,Amway Center,719275,17515
20.0,2015-2016,Memphis Grizzlies,1,30.5,42.0,40.0,0.5121951219512195,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.47700000000000004,12.3,25.3,0.231,0.518,15.2,75.1,0.251,FedEx Forum,701894,17119
21.0,2015-2016,Sacramento Kings,0,26.6,33.0,49.0,0.4024390243902439,34,48,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.20199999999999999,Sleep Train Arena,707526,17222
22.0,2015-2016,New York Knicks,0,27.2,32.0,50.0,0.3902439024390244,33,49,-2.73,0.0,-2.74,104.6,107.6,-3.0,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.48700000000000004,10.5,75.8,0.204,Madison Square Garden (IV),812292,19812
23.0,2015-2016,Denver Nuggets,0,24.7,33.0,49.0,0.4024390243902439,33,49,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.27699999999999997,0.531,0.489,13.2,25.8,0.21600000000000003,0.515,12.6,77.3,0.21600000000000003,Pepsi Center,577898,14095
24.0,2015-2016,Minnesota Timberwolves,0,24.6,29.0,53.0,0.35365853658536583,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.20199999999999999,0.5489999999999999,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,Target Center,581178,14175
25.0,2015-2016,New Orleans Pelicans,0,26.6,30.0,52.0,0.36585365853658536,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.259,0.27699999999999997,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,Smoothie King Center,688549,16794
26.0,2015-2016,Milwaukee Bucks,0,23.5,33.0,49.0,0.4024390243902439,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.18899999999999997,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,BMO Harris Bradley Center,621808,15166
27.0,2015-2016,Phoenix Suns,0,26.0,23.0,59.0,0.2804878048780488,24,58,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,0.271,0.302,0.526,0.48700000000000004,15.2,25.4,0.204,0.523,13.5,77.1,0.237,Talking Stick Resort Arena,701405,17107
